pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,src_port,dst_port,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps
97,1242,1722031313221717,580315136,1722031313802032.2,97,1,1.0,12.804123711340207,5.632882469821992e-08,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
98,1242,1722031313221718,581974016,1722031313803692.0,98,1,1.0,12.673469387755102,5.69095342311364e-08,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
99,1242,1722031313221718,583386624,1722031313805104.5,99,1,1.0,12.545454545454545,5.7490243764060024e-08,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
100,1242,1722031313221718,584809728,1722031313806527.8,100,1,1.0,12.42,5.807095329698233e-08,1,UDP,443,38125,1242,1242,9.936,9.936,19.872
101,171,1722031313221718,585862656,1722031313807580.8,101,1,1.0,1.693069306930693,5.865166282991629e-08,1,UDP,443,38125,171,171,1.368,1.368,2.736
102,85,1722031313222516,586448384,1722031313808964.5,102,1,1.0,0.8333333333333334,5.923237236283816e-08,1,UDP,38125,443,85,85,0.68,0.68,1.36
103,110,1722031313323974,81246720,1722031313405220.8,103,1,1.0,1.0679611650485437,5.981308190983082e-08,1,,0,0,110,110,0.88,0.88,1.76
104,105,1722031315229971,625307136,1722031315855278.2,104,1,1.0,1.0096153846153846,6.039379135700938e-08,1,TCP,46098,443,105,105,0.84,0.84,1.68
105,110,1722031315337216,627476224,1722031315964692.2,105,1,1.0,1.0476190476190477,6.097450088541413e-08,1,,0,0,110,110,0.88,0.88,1.76
106,105,1722031315342422,631683840,1722031315974105.8,106,1,1.0,0.9905660377358491,6.155521041731968e-08,1,TCP,443,46098,105,105,0.84,0.84,1.68
107,66,1722031315342471,635574272,1722031315978045.2,107,1,1.0,0.616822429906542,6.21359199494164e-08,1,TCP,46098,443,66,66,0.528,0.528,1.056
108,1399,1722031316164491,651571712,1722031316816062.8,108,1,1.0,12.953703703703704,6.271662945113322e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
109,1399,1722031316164510,657761280,1722031316822271.2,109,1,1.0,12.8348623853211,6.329733898285994e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
110,1399,1722031316164516,662110720,1722031316826626.8,110,1,1.0,12.718181818181819,6.387804851465122e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
111,1399,1722031316180694,664717312,1722031316845411.2,111,1,1.0,12.603603603603604,6.445875804589946e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
112,1399,1722031316196885,666390016,1722031316863275.0,112,1,1.0,12.491071428571429,6.50394675771698e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
113,70,1722031316201457,667015424,1722031316868472.5,113,1,1.0,0.6194690265486725,6.562017710891076e-08,1,UDP,443,38125,70,70,0.56,0.56,1.12
114,70,1722031316201457,667634688,1722031316869091.8,114,1,1.0,0.6140350877192983,6.620088664082423e-08,1,UDP,443,38125,70,70,0.56,0.56,1.12
115,68,1722031316201457,668855040,1722031316870312.0,115,1,1.0,0.591304347826087,6.678159617271396e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
116,1399,1722031316210068,670916096,1722031316880984.0,116,1,1.0,12.060344827586206,6.736230570423313e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
117,69,1722031316214570,671546880,1722031316886117.0,117,1,1.0,0.5897435897435898,6.794301523596365e-08,1,UDP,443,38125,69,69,0.552,0.552,1.104
118,1399,1722031316221966,673106688,1722031316895072.8,118,1,1.0,11.85593220338983,6.852372476753859e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
119,68,1722031316229915,673736192,1722031316903651.2,119,1,1.0,0.5714285714285714,6.910443429912264e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
120,1399,1722031316232182,675214336,1722031316907396.2,120,1,1.0,11.658333333333333,6.968514383089649e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
121,1399,1722031316242524,677545472,1722031316920069.5,121,1,1.0,11.561983471074381,7.02658533623035e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
122,68,1722031316246931,679071488,1722031316926002.5,122,1,1.0,0.5573770491803278,7.084656289397928e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
123,1399,1722031316252382,681369600,1722031316933751.5,123,1,1.0,11.373983739837398,7.142727242557572e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
124,68,1722031316260245,682104320,1722031316942349.2,124,1,1.0,0.5483870967741935,7.200798195713146e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
125,1399,1722031316260483,683744256,1722031316944227.2,125,1,1.0,11.192,7.258869148896464e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
126,1399,1722031316269747,685374976,1722031316955122.0,126,1,1.0,11.103174603174603,7.316940102041344e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
127,68,1722031316271743,686013952,1722031316957757.0,127,1,1.0,0.5354330708661418,7.375011055220864e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
128,68,1722031316275594,686752768,1722031316962346.8,128,1,1.0,0.53125,7.433082008391767e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
129,1399,1722031316277219,688313088,1722031316965532.0,129,1,1.0,10.844961240310077,7.49115296156847e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
130,1399,1722031316284484,689896704,1722031316974380.8,130,1,1.0,10.761538461538462,7.549223914720132e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
131,68,1722031316285292,690555392,1722031316975847.5,131,1,1.0,0.5190839694656488,7.607294867903808e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
132,1255,1722031316290674,692060672,1722031316982734.8,132,1,1.0,9.507575757575758,7.665365821063257e-08,1,UDP,38125,443,1255,1255,10.04,10.04,20.08
133,69,1722031316296665,692706560,1722031316989371.5,133,1,1.0,0.518796992481203,7.723436774223362e-08,1,UDP,443,38125,69,69,0.552,0.552,1.104
134,68,1722031316302698,693405440,1722031316996103.5,134,1,1.0,0.5074626865671642,7.781507727382591e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
135,68,1722031316310320,694508032,1722031317004828.0,135,1,1.0,0.5037037037037037,7.839578680532295e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
136,68,1722031316317448,695232512,1722031317012680.5,136,1,1.0,0.5,7.89764963368541e-08,1,UDP,443,38125,68,68,0.544,0.544,1.088
137,69,1722031316325407,695955200,1722031317021362.2,137,1,1.0,0.5036496350364964,7.955720586834164e-08,1,UDP,443,38125,69,69,0.552,0.552,1.104
138,157,1722031316920308,673450240,1722031317593758.2,138,1,1.0,1.1376811594202898,8.013791537358983e-08,1,TCP,46110,443,157,157,1.256,1.256,2.512
139,928,1722031316920330,677797120,1722031317598127.0,139,1,1.0,6.676258992805756,8.071862490507774e-08,1,TCP,46110,443,928,928,7.424,7.424,14.848
140,928,1722031317097102,680525824,1722031317777627.8,140,1,1.0,6.628571428571429,8.129933442829448e-08,1,TCP,46110,443,928,928,7.424,7.424,14.848
141,78,1722031317141217,682316288,1722031317823533.2,141,1,1.0,0.5531914893617021,8.188004395774242e-08,1,TCP,443,46110,78,78,0.624,0.624,1.248
142,157,1722031317141271,683759616,1722031317825030.5,142,1,1.0,1.1056338028169015,8.246075348928591e-08,1,TCP,46110,443,157,157,1.256,1.256,2.512
143,66,1722031317141294,685097984,1722031317826392.0,143,1,1.0,0.46153846153846156,8.304146302083495e-08,1,TCP,443,46110,66,66,0.528,0.528,1.056
144,357,1722031317141305,686776320,1722031317828081.2,144,1,1.0,2.4791666666666665,8.362217255236715e-08,1,TCP,443,46110,357,357,2.856,2.856,5.712
145,66,1722031317141312,688204544,1722031317829516.5,145,1,1.0,0.45517241379310347,8.420288208391063e-08,1,TCP,46110,443,66,66,0.528,0.528,1.056
146,113,1722031317141320,689660160,1722031317830980.2,146,1,1.0,0.773972602739726,8.478359161545173e-08,1,TCP,443,46110,113,113,0.904,0.904,1.808
147,66,1722031317141325,690949120,1722031317832274.0,147,1,1.0,0.4489795918367347,8.536430114700028e-08,1,TCP,46110,443,66,66,0.528,0.528,1.056
148,97,1722031317141328,692261888,1722031317833590.0,148,1,1.0,0.6554054054054054,8.594501067854685e-08,1,TCP,443,46110,97,97,0.776,0.776,1.552
149,66,1722031317141332,693615616,1722031317834947.5,149,1,1.0,0.4429530201342282,8.652572021009044e-08,1,TCP,46110,443,66,66,0.528,0.528,1.056
150,78,1722031317145836,695276800,1722031317841112.8,150,1,1.0,0.52,8.710642974138992e-08,1,TCP,443,46110,78,78,0.624,0.624,1.248
151,1187,1722031317155269,697793024,1722031317853062.0,151,1,1.0,7.860927152317881,8.768713927239073e-08,1,UDP,443,38125,1187,1187,9.496,9.496,18.992
152,87,1722031317155972,698886400,1722031317854858.5,152,1,1.0,0.5723684210526315,8.82678488039039e-08,1,UDP,38125,443,87,87,0.696,0.696,1.392
153,794,1722031317159827,700652288,1722031317860479.2,153,1,1.0,5.189542483660131,8.88485583352185e-08,1,UDP,443,38125,794,794,6.352,6.352,12.704
154,794,1722031317159827,702257920,1722031317862085.0,154,1,1.0,5.1558441558441555,8.942926786673785e-08,1,UDP,443,38125,794,794,6.352,6.352,12.704
155,87,1722031317160207,702906112,1722031317863113.0,155,1,1.0,0.5612903225806452,9.000997739828632e-08,1,UDP,38125,443,87,87,0.696,0.696,1.392
156,1399,1722031317181537,704548352,1722031317886085.2,156,1,1.0,8.967948717948717,9.059068692867966e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
157,1399,1722031317181570,706244352,1722031317887814.2,157,1,1.0,8.910828025477707,9.117139646018222e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
158,1399,1722031317181587,707971584,1722031317889558.5,158,1,1.0,8.854430379746836,9.17521059916828e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
159,1399,1722031317185844,709689600,1722031317895533.5,159,1,1.0,8.79874213836478,9.233281552295536e-08,1,UDP,38125,443,1399,1399,11.192,11.192,22.384
160,794,1722031317186076,711918336,1722031317897994.2,160,1,1.0,4.9625,9.291352505441351e-08,1,UDP,443,38125,794,794,6.352,6.352,12.704
161,794,1722031317186076,713856256,1722031317899932.2,161,1,1.0,4.931677018633541,9.349423458589837e-08,1,UDP,443,38125,794,794,6.352,6.352,12.704
162,794,1722031317186076,715304448,1722031317901380.5,162,1,1.0,4.901234567901234,9.407494411740869e-08,1,UDP,443,38125,794,794,6.352,6.352,12.704
